Country,Confirmed,Deaths,Recovered,Active,Longitude,Latitude,DeathRatio
Laos,2229,0,1540,689,19269.153248000002,3732.9787599999995,0.0
Latvia,118383,2458,74648,41277,4625.4016,10693.364800000001,0.02076311632582381
Lebanon,166607,3520,82508,80579,6742.1124,6364.6836,0.02112756366779307
Lesotho,6794,98,1318,5378,5307.9168,-5566.68,0.014424492198999116
Liberia,51775,3341,23418,25016,-1772.745812,1208.4743400000002,0.0645292129406084
Libya,62321,1612,14199,46510,3238.9262280000003,4950.9988,0.025866080454421462
Liechtenstein,10351,116,9477,758,1795.4,8862.32,0.011206646700801855
Lithuania,188762,7019,120592,61151,4489.6844,10371.8472,0.037184390926139795
Luxembourg,501355,11624,379664,110067,1152.3648,9365.2764,0.023185168194193737
Madagascar,207296,1699,99424,106173,8811.392115999999,-3528.1860359999996,0.008196009570855202
Malawi,89666,1640,26822,61204,6448.682,-2491.8084,0.018290098811143577
Malaysia,876874,12971,703056,160847,19171.444008,791.5709919999998,0.014792319078909854
Maldives,173602,705,106302,66595,13765.4916,602.1264,0.0040610131219686405
Mali,151494,8229,95287,47978,-751.2792080000002,3303.290096,0.05431898293001703
Malta,67483,765,53260,13458,2702.5752,6756.25,0.011336188373368108
Mauritania,219095,6720,94938,117437,-2056.8704,3949.4852,0.030671626463406286
Mauritius,39448,1161,32602,5685,10819.804576,-3825.4999519999997,0.029431149868180895
Mexico,14946202,1728277,11141225,2076700,-19279.9264,4443.286,0.11563318895328727
Moldova,1156957,38196,652369,466392,5333.541200000001,8913.3808,0.03301419153866565
Monaco,11993,425,8707,2861,1394.3396,8221.8604,0.03543733844742766
Mongolia,16999,0,9902,7097,19523.1796,8810.15,0.0
Montenegro,72422,1379,31486,39557,3642.38532,8029.231464000001,0.019041175333462206
Morocco,1002746,23170,703960,275616,-1333.4088,5976.839599999999,0.02310654941530557
Mozambique,58006,361,0,57645,6679.557656,-3509.15066,0.006223494121297797
Namibia,28836,72,2152,26612,3476.1952,-4316.0288,0.0024968789013732834
Nepal,682623,1660,308056,372907,15839.0,5295.339599999999,0.0024317961744623313
Netherlands,5167516,622314,16967,4528235,-36983.6984,17834.7704,0.12042807414626293
New Zealand,175979,2181,149560,24238,32878.568,-7689.3128,0.012393524227322579
Nicaragua,137545,4867,86849,45829,-16018.959052,2418.698208,0.035384783161874295
Niger,102223,5948,79067,17208,1519.353208,3310.264332,0.05818651379826458
Nigeria,1634040,39416,600928,993696,1630.9564,1707.4160000000002,0.024121808523659152
North Macedonia,440483,21235,214483,204765,4088.1164,7822.416800000001,0.048208443912704915
Norway,1008821,25664,544430,438727,1592.1532,11368.736,0.025439597312109877
Oman,2559773,11804,1439269,1108700,10513.571940000002,4044.365604,0.0046113463967312725
Pakistan,12833994,264729,6936003,5633262,13036.8788,5710.5563999999995,0.02062717186871055
Panama,2378126,51756,1213644,1112726,-15187.0348,1605.144,0.021763354843267347
Papua New Guinea,1185,2,695,488,27063.643399999997,-1187.2186840000002,0.0016877637130801688
Paraguay,156373,1663,75800,78910,-10987.4344,-4407.19,0.010634828263191216
Peru,19263916,652113,10862846,7748957,-14102.8576,-1727.7199999999998,0.033851528422362304
Philippines,2972611,110892,785042,2076677,22893.515196,2421.387548,0.037304578365618644
Poland,2755525,118018,1465856,1171651,3599.2788,9760.8472,0.042829587828090834
Portugal,3855363,146603,1809966,1898794,-1546.2060000000001,7407.181200000001,0.03802573194793849
Qatar,6377607,7123,4676443,1694041,9622.5732,4766.7024,0.0011168765965039865
Romania,2363132,140031,1409409,813692,4693.7584,8637.3216,0.05925652904704434
Russia,45408411,619385,25120448,19668578,19799.926128,11566.513879999999,0.013640314346168159
Rwanda,71242,169,36974,34099,5616.2932,-364.77639999999997,0.0023721961764127902
Saint Kitts and Nevis,1772,0,1295,477,-11803.203624,3263.270536,0.0
Saint Lucia,2236,0,1860,376,-11464.0332,2614.9672,0.0
Saint Vincent and the Grenadines,2771,0,1995,776,-11521.9936,2441.0483999999997,0.0
San Marino,74949,5086,41810,28053,2342.0664,8261.1712,0.06785947777822253
Sao Tome and Principe,46884,950,15882,30052,1243.2628,35.0432,0.02026277621363365
Saudi Arabia,12362961,105150,8474107,3783704,8474.882456,4490.5570960000005,0.00850524401071879
Senegal,467457,7177,286778,173502,-2717.0512000000003,2725.5112,0.015353283831454016
Serbia,1376322,28876,735730,611716,3949.1092,8275.102,0.02098055542235029
Seychelles,3977,0,1247,2730,10432.496,-879.7647999999999,0.0
Sierra Leone,95846,4186,58390,33270,-2214.6191320000003,1590.58434,0.04367422740646454
Singapore,3502472,2441,2372884,1127147,19520.6604,241.26040000000003,0.0006969363352512169
Slovakia,176429,2692,121950,51787,3703.4120000000003,9149.771999999999,0.015258262530536363
Slovenia,186132,11326,109805,65001,2819.154,8676.4256,0.06084928975135925
Somalia,206646,7006,59491,140149,8685.527807999999,968.6040119999999,0.033903390339033904
South Africa,11168743,181979,5836423,5150341,4312.25,-5745.186,0.016293597229339058
South Korea,1647537,33518,1246797,367222,24020.181335999998,6750.658316000002,0.02034430789718228
South Sudan,118818,2006,23121,93691,5885.715999999999,1292.8760000000002,0.016882963860694506
Spain,27404045,3033030,15093583,9277432,-704.8533600000001,7607.169396,0.11067818637723008
Sri Lanka,166865,1105,109389,56371,15185.097835999995,1480.1341519999999,0.006622119677583675
Sudan,586392,35415,240835,310142,5680.9088,2418.2064,0.060394752997994516
Suriname,32247,721,17436,14090,-10533.2264,736.8284,0.022358669023475053
Sweden,4973160,448913,0,4524247,3504.978188,11304.094267999999,0.09026715408311818
Switzerland,3696604,207858,2957883,530863,1546.7699999999998,8801.8216,0.056229447352218416
Syria,20946,973,0,19973,7331.4012200000025,6542.7901,0.046452783347655874
Taiwan*,55593,840,42184,12569,22748.0,4455.599999999999,0.015109815984026767
Tajikistan,383026,3915,264000,115111,13399.9068,7305.8679999999995,0.010221238244923322
Tanzania,49327,1985,16729,30613,6559.0985359999995,-1197.377264,0.04024165264459627
Thailand,366527,6289,312360,47878,18986.597708,2983.566016,0.01715835395482461
Timor-Leste,2487,0,0,2487,23636.777331999998,-1668.352796,0.0
